PART_NUMBER,PART_SEG,PART_DESCRIPTION,PART_CATEGORY
PAN-M-P-UPG-1K,PALO,"Panorama license upgrade, 100 to 1000 devices for the M-100",
PAN-M-500,PALO,Palo Alto Networks M-500 chassis with 4TB storage (4x2TB RAID certified drives) and 4 post rack mount rails,
PAN-M-500-P-25,PALO,"Panorama central management software license, 25 devices or log collector for the M-500",
PAN-M-500-P-100,PALO,"Panorama central management software license, 100 devices for the M-500",
PAN-M-500-P-1K,PALO,"Panorama central management software license, 1000 devices for the M-500",
PAN-M-500-P-MIG-25,PALO,"Panorama license migration from PRA-25 to M-500, 25 devices or log collector",
PAN-M-500-P-MIG-100,PALO,"Panorama license migration from PRA-100 to M-500, 100 devices",
PAN-M-500-P-MIG-1K,PALO,"Panorama license migration from PRA-1K to M-500, 1K devices",
PAN-M-MIG-M100-M500-25,PALO,"Panorama license migration from M-100 to M-500, 25 devices or log collector",
PAN-M-MIG-M100-M500-100,PALO,"Panorama license migration from M-100 to M-500, 100 devices",
PAN-M-MIG-M100-M500-1K,PALO,"Panorama license migration from M-100 to M-500, 1K devices",
PAN-M-500-P-UPG-100,PALO,"Panorama license upgrade, 25 to 100 devices for the M-500",
PAN-M-500-P-UPG-1K,PALO,"Panorama license upgrade, 100 to 1K devices for the M-500",
PAN-VM-100,PALO,Palo Alto Networks VM-100,
PAN-VM-100-ENT,PALO,"Palo Alto Networks VM-100 Enterprise, quantity 25",
PAN-VM-200,PALO,Palo Alto Networks VM-200,
PAN-VM-200-ENT,PALO,"Palo Alto Networks VM-200, quanity 25",
PAN-VM-300,PALO,Palo Alto Networks VM-300,
PAN-VM-300-ENT,PALO,"Palo Alto Networks VM-300, quantity 25",
PAN-VM-1000-HV,PALO,Palo Alto Networks VM-1000-HV,
PAN-VM-1000-HV-ENT,PALO,"Palo Alto Networks VM-1000-HV-ENT, quantity 25",
PAN-VM-50-PERP-BASC-PREM-1YR,PALO,Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-50 and Premium Support,
PAN-VM-50-PERP-BASC-PREM-1YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 1 year, Renewal",
PAN-VM-50-PERP-BASC-PREM-3YR,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-50 and Premium Support, 3 year",
PAN-VM-50-PERP-BASC-PREM-3YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 3 year, Renewal",
PAN-VM-50-PERP-BASC-PREM-5YR,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-50 and Premium Support, 5 year",
PAN-VM-50-PERP-BASC-PREM-5YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 5 year, Renewal",
PAN-VM-50-PERP-BASC-PREMUSG-1YR,PALO,Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-50 and US Government Premium Support,
,PALO,,
PAN-VM-50-PERP-BASC-PREMUSG-1YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes US Government Premium Support, 1 year, Renewal",
PAN-VM-50-PERP-BASC-PREMUSG-3YR,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-50 and US Government Premium Support, 3 year",
PAN-VM-50-PERP-BASC-PREMUSG-3YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes US Government Premium Support, 3 year, Renewal",
PAN-VM-50-PERP-BASC-PREMUSG-5YR,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-50 and US Government Premium Support, 5 year",
PAN-VM-50-PERP-BASC-PREMUSG-5YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes US Government Premium Support, 5 year, Renewal",
PAN-VM-50-PERP-BND1-PREM-1YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-50, Threat Prevention subscription, and Premium
Support",
PAN-VM-50-PERP-BND1-PREM-1YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and Premium Support, 1
year, Renewal",
PAN-VM-50-PERP-BND1-PREM-3YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-50, Threat Prevention subscription, and Premium
Support, 3 year",
PAN-VM-50-PERP-BND1-PREM-3YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and Premium Support, 3
year, Renewal",
PAN-VM-50-PERP-BND1-PREM-5YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-50, Threat Prevention subscription, and Premium
Support, 5 year",
PAN-VM-50-PERP-BND1-PREM-5YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and Premium Support, 5
year, Renewal",
PAN-VM-50-PERP-BND1-PREMUSG-1YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-50, Threat Prevention subscription, and US Government
Premium Support",
PAN-VM-50-PERP-BND1-PREMUSG-1YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and US Government
Premium Support, 1 year, Renewal",
PAN-VM-50-PERP-BND1-PREMUSG-3YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-50, Threat Prevention subscription, and US Government
Premium Support, 3 year",
PAN-VM-50-PERP-BND1-PREMUSG-3YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and US Government
Premium Support, 3 year, Renewal",
PAN-VM-50-PERP-BND1-PREMUSG-5YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-50, Threat Prevention subscription, and US Government
Premium Support, 5 year",
PAN-VM-50-PERP-BND1-PREMUSG-5YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and US Government
Premium Support, 5 year, Renewal",
PAN-VM-50-PERP-BND2-PREM-1YR,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-50, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and Premium Support",
PAN-VM-50-PERP-BND2-PREM-1YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and Premium Support, 1 year, Renewal",
PAN-VM-50-PERP-BND2-PREM-3YR,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-50, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and Premium Support, 3 year",
PAN-VM-50-PERP-BND2-PREM-3YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and Premium Support, 3 year, Renewal",
PAN-VM-50-PERP-BND2-PREM-5YR,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-50, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and Premium Support, 5 year",
PAN-VM-50-PERP-BND2-PREM-5YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and Premium Support, 5 year, Renewal",
PAN-VM-50-PERP-BND2-PREMUSG-1YR,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-50, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and US Government Premium Support",
PAN-VM-50-PERP-BND2-PREMUSG-1YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and US Government Premium Support, 1 year, Renewal",
PAN-VM-50-PERP-BND2-PREMUSG-3YR,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-50, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and US Government Premium Support, 3 year",
PAN-VM-50-PERP-BND2-PREMUSG-3YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and US Government Premium Support, 3 year, Renewal",
PAN-VM-50-PERP-BND2-PREMUSG-5YR,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-50, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and US Government Premium Support, 5 year",
PAN-VM-50-PERP-BND2-PREMUSG-5YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and US Government Premium Support, 5 year, Renewal",
PAN-VM-100-PERP-BASC-PREM-1YR,PALO,Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-100 and Premium Support,
PAN-VM-100-PERP-BASC-PREM-1YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 1 year, Renewal",
PAN-VM-100-PERP-BASC-PREM-3YR,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-100 and Premium Support, 3 year",
PAN-VM-100-PERP-BASC-PREM-3YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 3 year, Renewal",
PAN-VM-100-PERP-BASC-PREM-5YR,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-100 and Premium Support, 5 year",
PAN-VM-100-PERP-BASC-PREM-5YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 5 year, Renewal",
PAN-VM-100-PERP-BASC-PREMUSG-1YR,PALO,Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-100 and US Government Premium Support,
PAN-VM-100-PERP-BASC-PREMUSG-1YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes US Government Premium Support, 1 year, Renewal",
PAN-VM-100-PERP-BASC-PREMUSG-3YR,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-100 and US Government Premium Support, 3 year",
PAN-VM-100-PERP-BASC-PREMUSG-3YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes US Government Premium Support, 3 year, Renewal",
PAN-VM-100-PERP-BASC-PREMUSG-5YR,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-100 and US Government Premium Support, 5 year",
PAN-VM-100-PERP-BASC-PREMUSG-5YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes US Government Premium Support, 5 year, Renewal",
PAN-VM-100-PERP-BND1-PREM-1YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-100, Threat Prevention subscription, and Premium
Support",
PAN-VM-100-PERP-BND1-PREM-1YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and Premium Support, 1
year, Renewal",
PAN-VM-100-PERP-BND1-PREM-3YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-100, Threat Prevention subscription, and Premium
Support, 3 year",
PAN-VM-100-PERP-BND1-PREM-3YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and Premium Support, 3
year, Renewal",
PAN-VM-100-PERP-BND1-PREM-5YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-100, Threat Prevention subscription, and Premium
Support, 5 year",
PAN-VM-100-PERP-BND1-PREM-5YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and Premium Support, 5
year, Renewal",
PAN-VM-100-PERP-BND1-PREMUSG-1YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-100, Threat Prevention subscription, and US
Government Premium Support",
PAN-VM-100-PERP-BND1-PREMUSG-1YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and US Government
Premium Support, 1 year, Renewal",
PAN-VM-100-PERP-BND1-PREMUSG-3YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-100, Threat Prevention subscription, and US
Government Premium Support, 3 year",
,PALO,,
PAN-VM-100-PERP-BND1-PREMUSG-3YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and US Government
Premium Support, 3 year, Renewal",
PAN-VM-100-PERP-BND1-PREMUSG-5YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-100, Threat Prevention subscription, and US
Government Premium Support, 5 year",
PAN-VM-100-PERP-BND1-PREMUSG-5YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and US Government
Premium Support, 5 year, Renewal",
PAN-VM-100-PERP-BND2-PREM-1YR,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-100, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and Premium Support",
PAN-VM-100-PERP-BND2-PREM-1YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and Premium Support, 1 year, Renewal",
PAN-VM-100-PERP-BND2-PREM-3YR,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-100, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and Premium Support, 3 year",
PAN-VM-100-PERP-BND2-PREM-3YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and Premium Support, 3 year, Renewal",
PAN-VM-100-PERP-BND2-PREM-5YR,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-100, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and Premium Support, 5 year",
PAN-VM-100-PERP-BND2-PREM-5YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and Premium Support, 5 year, Renewal",
PAN-VM-100-PERP-BND2-PREMUSG-1YR,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-100, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and US Government Premium Support",
PAN-VM-100-PERP-BND2-PREMUSG-1YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and US Government Premium Support, 1 year, Renewal",
PAN-VM-100-PERP-BND2-PREMUSG-3YR,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-100, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and US Government Premium Support, 3 year",
PAN-VM-100-PERP-BND2-PREMUSG-3YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and US Government Premium Support, 3 year, Renewal",
PAN-VM-100-PERP-BND2-PREMUSG-5YR,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-100, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and US Government Premium Support, 5 year",
PAN-VM-100-PERP-BND2-PREMUSG-5YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and US Government Premium Support, 5 year, Renewal",
PAN-VM-300-PERP-BASC-PREM-1YR,PALO,Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-300 and Premium Support,
PAN-VM-300-PERP-BASC-PREM-1YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 1 year, Renewal",
PAN-VM-300-PERP-BASC-PREM-3YR,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-300 and Premium Support, 3 year",
PAN-VM-300-PERP-BASC-PREM-3YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 3 year, Renewal",
PAN-VM-300-PERP-BASC-PREM-5YR,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-300 and Premium Support, 5 year",
PAN-VM-300-PERP-BASC-PREM-5YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 5 year, Renewal",
PAN-VM-300-PERP-BASC-PREMUSG-1YR,PALO,Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-300 and US Government Premium Support,
PAN-VM-300-PERP-BASC-PREMUSG-1YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes US Government Premium Support, 1 year, Renewal",
PAN-VM-300-PERP-BASC-PREMUSG-3YR,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-300 and US Government Premium Support, 3 year",
PAN-VM-300-PERP-BASC-PREMUSG-3YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes US Government Premium Support, 3 year, Renewal",
PAN-VM-300-PERP-BASC-PREMUSG-5YR,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-300 and US Government Premium Support, 5 year",
PAN-VM-300-PERP-BASC-PREMUSG-5YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes US Government Premium Support, 5 year, Renewal",
PAN-VM-300-PERP-BND1-PREM-1YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-300, Threat Prevention subscription, and Premium
Support",
PAN-VM-300-PERP-BND1-PREM-1YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and Premium Support, 1
year, Renewal",
PAN-VM-300-PERP-BND1-PREM-3YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-300, Threat Prevention subscription, and Premium
Support, 3 year",
PAN-VM-300-PERP-BND1-PREM-3YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and Premium Support, 3
year, Renewal",
PAN-VM-300-PERP-BND1-PREM-5YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-300, Threat Prevention subscription, and Premium
Support, 5 year",
PAN-VM-300-PERP-BND1-PREM-5YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and Premium Support, 5
year, Renewal",
PAN-VM-300-PERP-BND1-PREMUSG-1YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-300, Threat Prevention subscription, and US
Government Premium Support",
PAN-VM-300-PERP-BND1-PREMUSG-1YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and US Government
Premium Support, 1 year, Renewal",
PAN-VM-300-PERP-BND1-PREMUSG-3YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-300, Threat Prevention subscription, and US
Government Premium Support, 3 year",
PAN-VM-300-PERP-BND1-PREMUSG-3YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and US Government
Premium Support, 3 year, Renewal",
PAN-VM-300-PERP-BND1-PREMUSG-5YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-300, Threat Prevention subscription, and US
Government Premium Support, 5 year",
PAN-VM-300-PERP-BND1-PREMUSG-5YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and US Government
Premium Support, 5 year, Renewal",
PAN-VM-300-PERP-BND2-PREM-1YR,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-300, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and Premium Support",
PAN-VM-300-PERP-BND2-PREM-1YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and Premium Support, 1 year, Renewal",
PAN-VM-300-PERP-BND2-PREM-3YR,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-300, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and Premium Support, 3 year",
PAN-VM-300-PERP-BND2-PREM-3YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and Premium Support, 3 year, Renewal",
PAN-VM-300-PERP-BND2-PREM-5YR,PALO,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-300, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and Premium Support, 5 year",
