PART_NUMBER,PART_SEG,PART_DESCRIPTION,PART_CATEGORY,GROUND_TRUTH
PAN-PA-5260-DC,PALO,Palo Alto Networks PA-5260 with redundant DC power supplies,HARDWARE,HARDWARE
PAN-PA-7000-20G-NPC,PALO,"PA-7000 Network Processing Card with 12x10/100/1000 RJ-45 Ethernet, 8x1GbE SFP and 4x10GbE SFP+, 4M sessions.",HARDWARE,HARDWARE
PAN-PA-7000-20GQ-NPC,PALO,"PA-7000 Network Processing Card with 12x10GbE SFP+ and 2x40GbE QSFP+ interfaces, 4M sessions.",HARDWARE,HARDWARE
PAN-PA-7000-20GXM-NPC,PALO,"PA-7000 Network Processing Card with 12x10/100/1000 RJ-45 Ethernet, 8x1GbE SFP and 4x10GbE SFP+, 8M sessions, Extended
memory.",HARDWARE,HARDWARE
PAN-PA-7000-20GQXM-NPC,PALO,"PA-7000 Network Processing Card with 12x10GbE SFP+ and 2x40GbE QSFP+ interfaces, 8M sessions, Extended memory.",HARDWARE,HARDWARE
PAN-PA-7050-AC,PALO,"PA-7050 Base AC Hardware Bundle. Includes AC Chassis, 4xAC power supplies, 2xFan Trays, Fan Filter, Switch Management Card, Log
Processing Card, and 4xAMC cards",HARDWARE,HARDWARE
PAN-PA-7050-DC,PALO,"A-7050 Base DC Hardware Bundle. Includes DC Chassis, 4xDC power supplies, 2xFan Trays, Fan Filter, Switch Management Card, Log
Processing Card, and 4xAMC cards",HARDWARE,HARDWARE
PAN-PA-7080-AC,PALO,"PA-7080 Base AC Hardware Bundle. Includes AC Chassis, 4xAC power supplies, 2xFan Trays, Fan Filter, Switch Management Card, Log
Processing Card, and 4xAMC cards",HARDWARE,HARDWARE
PAN-PA-7080-DC,PALO,"PA-7080 Base DC Hardware Bundle. Includes DC Chassis, 4xDC power supplies, 2xFan Trays, Fan Filter, Switch Management Card, Log
Processing Card, and 4xAMC cards",HARDWARE,HARDWARE
PAN-PRA-25,PALO,"Panorama central management software, 25 devices",SOFTWARE,SOFTWARE
PAN-PRA-100,PALO,"Panorama central management software, 100 devices",SOFTWARE,SOFTWARE
PAN-PRA-1000,PALO,"Panorama central management software, 1000 devices",SOFTWARE,SOFTWARE
PAN-PRA-UPG-100,PALO,"Panorama upgrade, 25 to 100 devices",SOFTWARE,SOFTWARE
PAN-PRA-UPG-1K,PALO,"Panorama upgrade, 100 to 1000 devices",SOFTWARE,SOFTWARE
PAN-M-100,PALO,"Palo Alto Networks M-100, 1TB RAID storage (2 1TB RAID certified drives preinstalled). Rack mount rails included.",HARDWARE,HARDWARE
PAN-M-100-4TB,PALO,"Palo Alto Networks M-100, 4TB RAID storage (8 1TB RAID certified drives preinstalled). Rack mount rails included.",HARDWARE,HARDWARE
PAN-M-100-UPG-32GB,PALO,32GB Memory Upgrade Kit for M-100 Only. One per system. Replaces the existing memory.,HARDWARE,HARDWARE
PAN-M-P-25,PALO,"Panorama central management software license, 25 devices or log collector for the M-100",SOFTWARE,SOFTWARE
PAN-M-P-100,PALO,"Panorama central management software license, 100 devices for the M-100",SOFTWARE,SOFTWARE
PAN-M-P-1K,PALO,"Panorama central management software license, 1000 devices for the M-100",SOFTWARE,SOFTWARE
PAN-M-P-MIG-25,PALO,"Panorama license migration from PRA-25 to M-100, 25 devices or log collector",SOFTWARE,SOFTWARE
PAN-M-P-MIG-100,PALO,"Panorama license migration from PRA-100 to M-100, 100 devices",SOFTWARE,SOFTWARE
PAN-M-P-MIG-1K,PALO,"Panorama license migration from PRA-1K to M-100, 1K devices",SOFTWARE,SOFTWARE
PAN-M-P-UPG-100,PALO,"Panorama license upgrade, 25 to 100 devices for the M-100",SOFTWARE,SOFTWARE
PAN-M-P-UPG-1K,PALO,"Panorama license upgrade, 100 to 1000 devices for the M-100",SOFTWARE,SOFTWARE
PAN-M-500,PALO,Palo Alto Networks M-500 chassis with 4TB storage (4x2TB RAID certified drives) and 4 post rack mount rails,HARDWARE,HARDWARE
PAN-M-500-P-25,PALO,"Panorama central management software license, 25 devices or log collector for the M-500",SOFTWARE,SOFTWARE
PAN-M-500-P-100,PALO,"Panorama central management software license, 100 devices for the M-500",SOFTWARE,SOFTWARE
PAN-M-500-P-1K,PALO,"Panorama central management software license, 1000 devices for the M-500",SOFTWARE,SOFTWARE
PAN-M-500-P-MIG-25,PALO,"Panorama license migration from PRA-25 to M-500, 25 devices or log collector",SOFTWARE,SOFTWARE
PAN-M-500-P-MIG-100,PALO,"Panorama license migration from PRA-100 to M-500, 100 devices",SOFTWARE,SOFTWARE
PAN-M-500-P-MIG-1K,PALO,"Panorama license migration from PRA-1K to M-500, 1K devices",SOFTWARE,SOFTWARE
PAN-M-MIG-M100-M500-25,PALO,"Panorama license migration from M-100 to M-500, 25 devices or log collector",SOFTWARE,SOFTWARE
PAN-M-MIG-M100-M500-100,PALO,"Panorama license migration from M-100 to M-500, 100 devices",SOFTWARE,SOFTWARE
PAN-M-MIG-M100-M500-1K,PALO,"Panorama license migration from M-100 to M-500, 1K devices",SOFTWARE,SOFTWARE
PAN-M-500-P-UPG-100,PALO,"Panorama license upgrade, 25 to 100 devices for the M-500",SOFTWARE,SOFTWARE
PAN-M-500-P-UPG-1K,PALO,"Panorama license upgrade, 100 to 1K devices for the M-500",SOFTWARE,SOFTWARE
PAN-VM-100,PALO,Palo Alto Networks VM-100,SOFTWARE,SOFTWARE
PAN-VM-100-ENT,PALO,"Palo Alto Networks VM-100 Enterprise, quantity 25",HARDWARE,SOFTWARE
PAN-VM-200,PALO,Palo Alto Networks VM-200,HARDWARE,SOFTWARE
PAN-VM-200-ENT,PALO,"Palo Alto Networks VM-200, quanity 25",HARDWARE,SOFTWARE
PAN-VM-300,PALO,Palo Alto Networks VM-300,SOFTWARE,SOFTWARE
PAN-VM-300-ENT,PALO,"Palo Alto Networks VM-300, quantity 25",SOFTWARE,SOFTWARE
PAN-VM-1000-HV,PALO,Palo Alto Networks VM-1000-HV,SOFTWARE,SOFTWARE
PAN-VM-1000-HV-ENT,PALO,"Palo Alto Networks VM-1000-HV-ENT, quantity 25",HARDWARE,SOFTWARE
PAN-VM-50-PERP-BASC-PREM-1YR,PALO,Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-50 and Premium Support,SOFTWARE,SOFTWARE
PAN-VM-50-PERP-BASC-PREM-1YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 1 year, Renewal",SOFTWARE,SOFTWARE
PAN-VM-50-PERP-BASC-PREM-3YR,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-50 and Premium Support, 3 year",SOFTWARE,SOFTWARE
PAN-VM-50-PERP-BASC-PREM-3YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 3 year, Renewal",SOFTWARE,SOFTWARE
PAN-VM-50-PERP-BASC-PREM-5YR,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-50 and Premium Support, 5 year",SOFTWARE,SOFTWARE
PAN-VM-50-PERP-BASC-PREM-5YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 5 year, Renewal",SOFTWARE,SOFTWARE
PAN-VM-50-PERP-BASC-PREMUSG-1YR,PALO,Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-50 and US Government Premium Support,SOFTWARE,SOFTWARE
,PALO,,HARDWARE,NULL
PAN-VM-50-PERP-BASC-PREMUSG-1YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes US Government Premium Support, 1 year, Renewal",SOFTWARE,SOFTWARE
PAN-VM-50-PERP-BASC-PREMUSG-3YR,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-50 and US Government Premium Support, 3 year",SOFTWARE,SOFTWARE
PAN-VM-50-PERP-BASC-PREMUSG-3YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes US Government Premium Support, 3 year, Renewal",SOFTWARE,SOFTWARE
PAN-VM-50-PERP-BASC-PREMUSG-5YR,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-50 and US Government Premium Support, 5 year",SOFTWARE,SOFTWARE
PAN-VM-50-PERP-BASC-PREMUSG-5YR-R,PALO,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes US Government Premium Support, 5 year, Renewal",SOFTWARE,SOFTWARE
PAN-VM-50-PERP-BND1-PREM-1YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-50, Threat Prevention subscription, and Premium
Support",SOFTWARE,SOFTWARE
PAN-VM-50-PERP-BND1-PREM-1YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and Premium Support, 1
year, Renewal",SOFTWARE,SOFTWARE
PAN-VM-50-PERP-BND1-PREM-3YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-50, Threat Prevention subscription, and Premium
Support, 3 year",SOFTWARE,SOFTWARE
PAN-VM-50-PERP-BND1-PREM-3YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and Premium Support, 3
year, Renewal",SOFTWARE,SOFTWARE
PAN-VM-50-PERP-BND1-PREM-5YR,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-50, Threat Prevention subscription, and Premium
Support, 5 year",SOFTWARE,SOFTWARE
PAN-VM-50-PERP-BND1-PREM-5YR-R,PALO,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and Premium Support, 5
year, Renewal",SOFTWARE,SOFTWARE
